상품ID,카테고리명,상품명,가격,Image URL
746540,소파,MVME 프라임 리츠 천연가죽 리클라이너 소파 4인 화이트에디션,1999000,https://image.hanssem.com/hsimg/gds/1050/746/746540_A1.jpg?v=20250804101311
1058866,소파,MVME 어폰 천연가죽 리클라이너 소파 3인,1179000,https://image.hanssem.com/hsimg/gds/1050/1058/1058866_A1.jpg?v=20250804101314
992978,테이블,밀란 304 블랑 AV장 2000(2종/택1),523000,https://image.hanssem.com/hsimg/gds/1050/992/992978_A1.jpg?v=20250408150316
1081936,소파,스위브 크리모 패브릭 스윙소파 3인용,1979000,https://image.hanssem.com/hsimg/gds/1050/1081/1081936_A1.jpg?v=20250909131330
1017274,소파,포네플러스 패브릭소파 코너모듈,780000,https://image.hanssem.com/hsimg/gds/1050/1017/1017274_A1.jpg?v=20240321165150
992295,테이블,피코 리프트업 소파테이블,339000,https://image.hanssem.com/hsimg/gds/1050/992/992295_A1.jpg?v=20250804101312
993412,테이블,유로 코지 사이드테이블(5종/택1),150000,https://image.hanssem.com/hsimg/gds/1050/993/993412_A1.jpg?v=20250806135641
302794,소파,매그 라운지 소파베드 스마트패브릭 오트밀,569000,https://image.hanssem.com/hsimg/gds/1050/302/302794_A1.jpg?v=20250812143736
992749,테이블,유로 503 파사드 거실장 2160,672000,https://image.hanssem.com/hsimg/gds/1050/992/992749_A1.jpg?v=20250116103944
1019509,소파,(아울렛)레이어드 패브릭 소파 3인오픈(암리스) 에페원단,1109000,https://image.hanssem.com/hsimg/gds/550/1019/1019509_A1.jpg?v=20250908160712
786843,소파,모아 모듈형 패브릭소파 와이드 4인,798000,https://image.hanssem.com/hsimg/gds/1050/786/786843_A1.jpg?v=20250804101311
1027088,소파,뉴인피니 천연가죽소파 코너형,2699000,https://image.hanssem.com/hsimg/gds/1050/1027/1027088_A1.jpg?v=20250804101313
145702,테이블,클린트2 거실장 120cm 선반형,129000,https://image.hanssem.com/hsimg/gds/1050/145/145702_A1.jpg?v=20250804101311
1021357,소파,네피 패브릭 소파 1.5인 린넨 에디션,1474000,https://image.hanssem.com/hsimg/gds/1050/1021/1021357_A1.jpg?v=20240509133142
1076832,소파,뉴인피니 모드 에코크레아 패브릭 4인 소파(5종/택1),2350000,https://image.hanssem.com/hsimg/gds/1050/1076/1076832_A1.jpg?v=20250103142235
777039,소파,밀로 패브릭소파 3인용(3종/택1),649000,https://image.hanssem.com/hsimg/gds/1050/777/777039_A1.jpg?v=20250804101311
999020,테이블,아카이브 160cm 멀티수납장 높은선반형 (2종 택1),815000,https://image.hanssem.com/hsimg/gds/1050/999/999020_A1.jpg?v=20250804101313
1118838,소파,[550만원딜 특가]페타 리클라이너 4인/밀란 블랑 테이블+인칸토 식탁세트,5500000,https://image.hanssem.com/hsimg/gds/1050/1118/1118838_A1.jpg?v=20250908091539
1017281,소파,포네플러스 패브릭소파 좌방석쿠션,190000,https://image.hanssem.com/hsimg/gds/1050/1017/1017281_A1.jpg?v=20250414144203
1065630,소파,뉴플루드 천연가죽 소파 스툴(2종/택1),499000,https://image.hanssem.com/hsimg/gds/1050/1065/1065630_A1.jpg?v=20250103141907
