상품ID,카테고리명,상품명,가격,Image URL
992309,식탁의자,위든 벤치의자,119000,https://image.hanssem.com/hsimg/gds/1050/992/992309_A1.jpg?v=20250908100853
1050985,식탁,도노 어반 리빙다이닝 4인 베이직세트 (130벤치 포함),1470000,https://image.hanssem.com/hsimg/gds/1050/1050/1050985_A1.jpg?v=20250626172558
1084735,식탁,[특가~9/29]위드 세라믹 4인 식탁세트 1400 (위드라운드의자4포함),787000,https://image.hanssem.com/hsimg/gds/1050/1084/1084735_A1.jpg?v=20250908100848
1064855,식탁,위드 세라믹 와이드4인 식탁세트 1600(위드의자4포함),719000,https://image.hanssem.com/hsimg/gds/1050/1064/1064855_A1.jpg?v=20250911100014
487623,식탁의자,위드 식탁의자 2개입(4종/택1),135000,https://image.hanssem.com/hsimg/gds/1050/487/487623_A1.jpg?v=20250908100852
613226,주방수납장,키친온 리빙수납장 수납형 낮은장 (2종/택1),409000,https://image.hanssem.com/hsimg/gds/1050/613/613226_A1.jpg?v=20250908100853
993757,식탁의자,유로 604 로쉬 오트밀 라운지벤치  1200,631000,https://image.hanssem.com/hsimg/gds/1050/993/993757_A1.jpg?v=20250221102452
1061909,식탁,바흐 701 인칸토 4인 세라믹 식탁 1600 고급형 (의자 미포함),1649000,https://image.hanssem.com/hsimg/gds/1050/1061/1061909_A1.jpg?v=20250901142843
634100,식탁의자,[특가~9/29]1+1 허드 가죽 바체어(2종/택1),109000,https://image.hanssem.com/hsimg/gds/550/634/634100_A1.jpg?v=20250915132053
1050989,식탁,도노 어반 리빙다이닝 6인 베이직세트 (180벤치 포함),1684000,https://image.hanssem.com/hsimg/gds/1050/1050/1050989_A1.jpg?v=20250627094319
1117454,식탁의자,ABS 미니스툴(2종/택1),49900,https://image.hanssem.com/hsimg/gds/1050/1117/1117454_A1.jpg?v=20250919092749
1118342,식탁,리브업 모션 리빙다이닝 6인 베이직세트(180벤치 포함),1860000,https://image.hanssem.com/hsimg/gds/1050/1118/1118342_A1.jpg?v=20250926151207
1057903,식탁,우디 필로티 원목식탁 6인 1700(의자 미포함),558000,https://image.hanssem.com/hsimg/gds/1050/1057/1057903_A1.jpg?v=20250908100851
385684,식탁의자,로하 원목 6인 와이드 벤치의자 DIY,109000,https://image.hanssem.com/hsimg/gds/1050/385/385684_A1.jpg?v=20250908100851
865074,식탁,도노 어반 세라믹 식탁세트 와이드4인용(슬림의자4 포함),1172000,https://image.hanssem.com/hsimg/gds/1050/865/865074_A1.jpg?v=20250627093149
1014155,식탁의자,도노 어반 식탁의자 베이지 2개입,250000,https://image.hanssem.com/hsimg/gds/550/1014/1014155_A1.jpg?v=20241011155519
992730,식탁의자,밀란 302 메이 식탁벤치의자 970,163000,https://image.hanssem.com/hsimg/gds/1050/992/992730_A1.jpg?v=20240805145419
928602,주방수납장,라임 주방수납 카페장 80cm (2종 택1),365040,https://image.hanssem.com/hsimg/gds/1050/928/928602_A1.jpg?v=20250908100852
655426,식탁,"포레 원목 4인 식탁세트(의자4 포함), DIY",425000,https://image.hanssem.com/hsimg/gds/1050/655/655426_A1.jpg?v=20250908100851
